cluster_number	medoid_label	silhouette	type_word
7	transfusion/nn	0.10672342	product/nn
10	discount/nn	0.36510235	profit-sharing/nn
1	access/nn	0.1901663	protection/nn
14	one/pn	0.25829494	psychotic/nn
5	jurisdiction/nn	0.6375431	punishment/nn
3	pat/nn	0.25962684	puppy/nn
3	pat/nn	0.41488996	purse/nn
0	thrust/nn	0.25552106	push/nn
2	drainage/nn	0.003345687	quantity/nn
6	experience/nn	0.17144993	question/nn
13	activity/nn	0.17718153	questionnaire/nn
3	pat/nn	0.29218027	rabbit/nn
10	discount/nn	0.4889584	raise/nn
4	broadcast/nn	0.23025092	rap/nn
7	transfusion/nn	0.40717596	rash/nn
10	discount/nn	0.036884863	rate/nn
9	worth/nn	0.1642315	rating/nn
6	experience/nn	0.34118387	reason/nn
10	discount/nn	0.42425972	rebate/nn
11	tang/nn	0.6884877	recipe/nn
9	worth/nn	0.20181793	records/nn
1	access/nn	0.39628318	referral/nn
10	discount/nn	0.4963968	refund/nn
13	activity/nn	-0.13234001	rein/nn
7	transfusion/nn	0.46754003	relaxation/nn
5	jurisdiction/nn	0.29163897	release/nn
1	access/nn	0.32565647	relief/nn
4	broadcast/nn	0.45620096	report/nn
6	experience/nn	0.29642057	respect/nn
3	pat/nn	-0.004036555	ride/nn
0	thrust/nn	0.30596033	right/nn
3	pat/nn	0.4694602	ring/nn
2	drainage/nn	0.15986553	room/nn
13	activity/nn	-0.012163065	rotation/nn
5	jurisdiction/nn	0.3773891	rule/nn
3	pat/nn	0.010881468	run/nn
4	broadcast/nn	0.1093294	rush/nn
10	discount/nn	0.43041924	salary/nn
7	transfusion/nn	0.23355968	sample/nn
10	discount/nn	-0.015906967	scale/nn
1	access/nn	0.096686505	scholarship/nn
4	broadcast/nn	0.2566678	screen/nn
3	pat/nn	-0.012572863	seat/nn
1	access/nn	0.2533534	security/nn
11	tang/nn	0.6009376	seedling/nn
6	experience/nn	0.36351544	self-esteem/nn
6	experience/nn	0.43089136	sense/nn
5	jurisdiction/nn	0.63808936	sentence/nn
4	broadcast/nn	0.36958483	sermon/nn
1	access/nn	0.45224825	service/nn
12	list/nn	0.21359281	set/nn
9	worth/nn	0.05395563	seventy/mc
2	drainage/nn	0.2895649	shelter/nn
3	pat/nn	0.43514428	shirt/nn
3	pat/nn	0.19696781	shot/nn
2	drainage/nn	0.19060487	shower/nn
2	drainage/nn	0.31559926	side/nn
13	activity/nn	0.31371906	signal/nn
12	list/nn	-0.046418633	six/nn
6	experience/nn	0.274209	skill/nn
6	experience/nn	0.33980036	slant/nn
2	drainage/nn	0.3325446	smack/nn
9	worth/nn	-0.034146417	some/pn
14	one/pn	0.61223894	something/nn
14	one/pn	0.6481437	something/pn
4	broadcast/nn	0.19991708	song/nn
13	activity/nn	0.22657551	source/nn
2	drainage/nn	0.3815317	space/nn
3	pat/nn	0.45291886	spec/nn
4	broadcast/nn	0.41488692	speech/nn
12	list/nn	-0.022702988	spiel/nn
2	drainage/nn	0.049118225	spot/nn
11	tang/nn	0.67204624	steak/nn
7	transfusion/nn	0.5169689	stimulation/nn
10	discount/nn	0.37432125	stipend/nn
10	discount/nn	-0.0036727053	stock/nn
4	broadcast/nn	0.3870239	story/nn
6	experience/nn	0.32959908	strength/nn
7	transfusion/nn	0.6016457	stroke/nn
14	one/pn	0.60690147	stuff/nn
9	worth/nn	0.35044092	subscription/nn
4	broadcast/nn	0.21295224	subtitle/nn
7	transfusion/nn	0.0595956	sudafed/np
3	pat/nn	0.4768621	suit/nn
