cw	x	y	cluster_number	silhouette	medoid_label	final_cluster
indication/nn	19.563736553447498	1.4901117787998883	1	0.37905166	leeway/nn	leeway/nn
information/nn	20.366141762932518	4.020664340196455	1	0.58260953	leeway/nn	leeway/nn
injection/nn	18.922256370161282	7.932453512175563	1	-0.013007531	leeway/nn	NA
inn/nn	-14.331319779886325	7.659716619682575	11	0.7477265	time/nn	time/nn
insight/nn	13.936109094515903	-5.0506447349057195	4	0.021810135	paycheck/nn	paycheck/nn
instruction/nn	20.05189771688812	5.599355235515308	1	0.5912134	leeway/nn	leeway/nn
insurance/nn	-5.97405922896926	-2.3580353428782534	0	0.15610857	equipment/nn	equipment/nn
interaction/nn	-14.642040452270498	4.666571276169028	0	-0.31995717	equipment/nn	NA
interest/nn	9.499540136612664	12.946709271057804	12	0.39934468	mortgage/nn	mortgage/nn
isolation/nn	-8.40942867761119	-24.158963531178248	7	0.3326848	custody/nn	custody/nn
it/pp	-6.476827964294363	-12.991886227438215	13	0.40597495	that/dd	that/dd
job/nn	-6.894898933072999	20.061505725968743	14	0.58827394	headache/nn	headache/nn
junkyard/nn	-21.00513843645152	26.525828921084916	14	0.07719066	headache/nn	headache/nn
jurisdiction/nn	-9.786264475940033	-24.83277530082982	7	0.39772886	custody/nn	custody/nn
key/nn	-16.150122222021437	-10.638239073720692	8	0.24889597	process/nn	process/nn
keys/nn	16.63761386718864	-24.579507256510283	5	0.6414872	description/nn	description/nn
kids/nn	15.878527660731201	-8.118023407027545	4	0.132661	paycheck/nn	paycheck/nn
kid/nn	10.37540100038399	-4.595005023655964	4	0.49437743	paycheck/nn	paycheck/nn
kiss/nn	19.26033653116682	7.268994439890989	1	0.3121686	leeway/nn	leeway/nn
kit/nn	-4.818044130232093	21.65806382142538	14	0.63247573	headache/nn	headache/nn
knife/nn	-7.880522357549202	20.785762287791062	14	0.54591215	headache/nn	headache/nn
knowledge/nn	13.276655520558307	-25.104476328295853	5	0.5607906	description/nn	description/nn
labor/nn	-4.053226915545276	-1.5004404146873422	0	0.29815373	equipment/nn	equipment/nn
law/nn	-17.4228271850594	-10.885611236603703	8	0.49204877	process/nn	process/nn
leeway/nn	20.15136533343081	4.706704913393693	1	0.61690605	leeway/nn	leeway/nn
less/da	23.038087472928638	-9.19912426566129	10	0.47888842	year/nn	year/nn
license/nn	-8.219158016322561	21.091446546991712	14	0.540527	headache/nn	headache/nn
life/nn	9.278456887740404	-3.686238707449427	4	0.55877393	paycheck/nn	paycheck/nn
lift/nn	-3.932812974068813	19.955080543813086	14	0.581478	headache/nn	headache/nn
light/nn	-15.177338231289779	-10.02706908017616	8	0.3872747	process/nn	process/nn
limits/nn	-9.872631877242066	-25.770675530810053	13	-0.11933212	that/dd	NA
limit/nn	-27.76944922775641	25.96295002364368	3	0.6149665	pat/nn	pat/nn
list/nn	-25.16833611573658	25.237338080679507	3	0.6600531	pat/nn	pat/nn
literature/nn	-8.01759858828881	-24.107187063959028	7	0.2511058	custody/nn	custody/nn
live/nn	2.0977368756356225	-10.347821983431972	13	0.09336237	that/dd	that/dd
loan/nn	9.461158016099297	13.388029475269807	12	0.44473642	mortgage/nn	mortgage/nn
lollipop/nn	16.837853882147236	-8.273807696811629	4	0.04608135	paycheck/nn	paycheck/nn
look/nn	-15.172419726688428	7.8473938194539175	11	0.71449697	time/nn	time/nn
lot/rr	23.049647993651256	-7.77694667412459	1	-0.11744172	leeway/nn	NA
magazine/nn	-5.983145179411997	-12.54141081700189	13	0.3874908	that/dd	that/dd
mail/nn	-15.880710532601881	-15.883348546565342	8	0.30841333	process/nn	process/nn
maximum/nn	-13.983659007148766	-6.324745375220813	6	0.43557474	exposure/nn	exposure/nn
measurement/nn	-6.145500780806203	-22.64786345976016	5	-0.14012074	description/nn	NA
medication/nn	-5.544175123262561	-21.408891331929716	0	-0.111804076	equipment/nn	NA
medicine/nn	13.571288635089106	-27.434832939518476	5	0.666706	description/nn	description/nn
meeting/nn	-14.625845438717572	6.901749224717443	11	0.66443515	time/nn	time/nn
message/nn	-4.029828093388079	24.055304448703904	14	0.46294478	headache/nn	headache/nn
million/nn	22.911843535860882	-12.76386442985818	10	0.5424497	year/nn	year/nn
minimum/nn	-8.943385763336144	20.26737709584117	14	0.44226208	headache/nn	headache/nn
minute/nn	24.418042826156984	-10.153356180310041	10	0.19786648	year/nn	year/nn
money/nn	20.772972019433244	3.2323460558232067	1	0.4144527	leeway/nn	leeway/nn
month/nn	22.22174605131709	-10.720942340180112	10	0.6159444	year/nn	year/nn
more/da	22.98409411844683	-8.916575197916394	10	0.41331798	year/nn	year/nn
mortgage/nn	9.324243726341912	13.314992459830064	12	0.43214953	mortgage/nn	mortgage/nn
motivation/nn	6.470162142151751	-2.4007530002007336	4	0.121938474	paycheck/nn	paycheck/nn
motive/nn	16.698295163642232	19.244089774572185	9	0.522975	recipe/nn	recipe/nn
much/da	-12.365083017679172	-3.970519127521604	6	0.43862012	exposure/nn	exposure/nn
music/nn	-19.932942385614897	-11.35902843418004	8	0.31758627	process/nn	process/nn
name/nn	7.725364020257667	-3.1866639231942977	4	0.5350469	paycheck/nn	paycheck/nn
new/jj	-6.758092246706093	22.196152706827057	14	0.6198937	headache/nn	headache/nn
news/nn	-29.118604812914143	22.640134854180314	3	0.37913215	pat/nn	pat/nn
